iECUMN_1333.xml	pmid:24277855	GCF_000026325.1	NC_011751.1	cobra_0.14.2
iECW_1372.xml	pmid:24277855	GCF_000184185.1	NC_017635.1	cobra_0.14.2
iEKO11_1354.xml	pmid:24277855		CP002516.1	cobra_0.14.2
iETEC_1333.xml	pmid:24277855	GCF_000210475.1	NC_017633.1	cobra_0.14.2
iG2583_1286.xml	pmid:24277855	GCF_000025165.1	NC_013941.1	cobra_0.14.2
iLF82_1304.xml	pmid:24277855	GCF_000284495.1	NC_011993.1	cobra_0.14.2
iNRG857_1313.xml	pmid:24277855	GCF_000183345.1	NC_017634.1	cobra_0.14.2
iS_1188.xml	pmid:24277855	GCF_000007405.1	NC_004741.1	cobra_0.14.2
iSbBS512_1146.xml	pmid:24277855	GCF_000020185.1	NC_010658.1	cobra_0.14.2
iSBO_1134.xml	pmid:24277855	GCF_000012025.1	NC_007613.1	cobra_0.14.2
iSDY_1059.xml	pmid:24277855	GCF_000012005.1	NC_007606.1	cobra_0.14.2
iSFV_1184.xml	pmid:24277855	GCF_000013585.1	NC_008258.1	cobra_0.14.2
iSFxv_1172.xml	pmid:24277855	GCF_000022245.1	NC_017328.1	cobra_0.14.2
iSSON_1240.xml	pmid:24277855	GCF_000092525.1	NC_007384.1	cobra_0.14.2
iUMN146_1321.xml	pmid:24277855	GCF_000148605.1	NC_017632.1	cobra_0.14.2
iUMNK88_1353.xml	pmid:24277855	GCF_000212715.1	NC_017641.1	cobra_0.14.2
iUTI89_1310.xml	pmid:24277855	GCF_000013265.1	NC_007946.1	cobra_0.14.2
iWFL_1372.xml	pmid:24277855	GCF_000184185.1	NC_017635.1	cobra_0.14.2
iZ_1308.xml	pmid:24277855	GCF_000006665.1	NC_002655.2	cobra_0.14.2
iJR904.xml	pmid:12952533	GCF_000005845.2	NC_000913.3
ecoli_core_model.xml	doi:10.1128/ecosalplus.10.2.1	GCF_000005845.2	NC_000913.3
iYL1228.xml	pmid:21296962	GCF_000016305.1	NC_009648.1
STM_v1.0.xml	pmid:21244678	GCF_000006945.1	AE006468.1
iAF987.xml	pmid:24762737	GCF_000012925.1	NC_007517.1	cobra_0.14.2
iJN678.xml	pmid:22308420	GCF_000009725.1	NC_000911.1
iMM1415.xml	pmid:20959003	GCF_000001635.20,GCF_000001635.24	NC_000067.6,NC_000068.7,NC_000069.6,NC_000070.6,NC_000071.6,NC_000072.6,NC_000073.6,NC_000074.6,NC_000075.6,NC_000076.6,NC_000077.6,NC_000078.6,NC_000079.6,NC_000080.6,NC_000081.6,NC_000082.6,NC_000083.6,NC_000084.6,NC_000085.6,NC_000086.7,NC_000087.7,NC_005089.1	cobra_0.14.2
iAF692.xml	pmid:16738551	iAF692_suppressed	CP000099.1	cobra_0.14.2
iLJ478.mat	pmid:19762644	GCF_000008545.1	NC_000853.1
iHN637.mat	pmid:24274140	GCF_000143685.1	NC_014328.1
iY75_1357.xml	pmid:24277855	GCF_000010245.2	NC_007779.1	cobra_0.14.2
iYO844.xml	pmid:17573341	GCF_000009045.1	NC_000964.3
iAF1260b.xml	pmid:19840862	GCF_000005845.2	NC_000913.3
iNF517.xml	pmid:23974365	GCF_000009425.1	NC_009004.1
iML1515.json	pmid:29020004	GCF_000005845.2	NC_000913.3
iJB785.json	pmid:27911809	GCF_000012525.1	NC_007604.1,NC_007595.1
iEK1008.json	pmid:29499714	GCF_000195955.2	NC_000962.3
iEC1356_Bl21DE3.json	pmid:27667363	GCF_000022665.1	NC_012971.2
iEC1349_Crooks.json	pmid:27667363	GCF_000019385.1	NC_010468.1
iEC1364_W.json	pmid:27667363	GCF_000184185.1	NC_017635.1
iEC1372_W3110.json	pmid:27667363	GCF_000010245.2	NC_007779.1
iCN718.json	pmid:29692801	GCF_000069245.1	NC_010410.1
iEC1368_DH5a.json	pmid:27667363	GCF_000982435.1	NZ_JRYM01000089.1
iEC1344_C.json	pmid:27667363	GCF_002079225.1	NZ_CP020543.1
iSynCJ816.xml	doi:10.1016/j.algal.2017.09.013	GCF_000009725.1	NC_000911.1
iCN900.json	pmid:	GCF_000009205.2	NC_009089.1
iJN1462.json	pmid:	GCF_000007565.2	NC_002947.4
